,reorder_point,order_size,total_cost,ordering_cost,holding_cost,shortage_cost,,Stats Table,,,,,,,,
181,-6,3,273.6,104.5,0.4,168.6,,,,,,,,,,
182,-6,3,270.8,104.1,0.4,166.2,,,,,,,,,,
183,-6,12,231,104.9,0.7,125.4,,,,,,,,,,
184,-6,12,230,103,0.7,126.2,,,,,,,,,,
185,-6,12,227.1,103.4,1,122.8,,,,,,,,,,
186,-6,0,282.9,102.9,0.7,179.4,,,,,,,,,,
187,-6,0,282.8,103.2,0.6,179.1,,,,,,,,,,
188,-6,0,287.3,104.5,0.7,182.2,,,,,,,,,,
189,-6,8,240.9,102.5,0.6,137.8,,,,,,,,,,
190,-6,8,239.7,101.9,0.6,137.2,,,,,,,,,,
191,-6,8,240.3,101.3,0.8,138.3,,,,,,,,,,
192,-6,11,232.6,104.1,0.6,127.8,,,,,,,,,,
193,-6,11,235.7,104.6,0.6,130.4,,,,,,,,,,
194,-6,11,231.4,102.2,0.9,128.2,,,,,,,,,,
195,-6,12,228.9,102.8,0.6,125.4,,,,,,,,,,
196,-6,12,248.8,110.5,0.6,137.7,,,,,,,,,,
197,-6,12,233.9,105,0.7,128.2,,,,,,,,,,
198,-6,9,244.6,103.5,0.5,140.6,,,,,,,,,,
199,-6,9,254.4,108.2,0.6,145.6,,,,,,,,,,
200,-6,9,231.7,100.1,0.6,131,,,,,,,,,,
201,-6,19,201.9,100.7,0.6,100.6,,,,,,,,,,
202,-6,19,195.9,93.9,0.9,101.2,,,,,,,,,,
203,-6,19,194.8,93.3,0.9,100.6,,,,,,,,,,
204,-6,2,269.9,101.8,0.5,167.7,,,,,,,,,,
205,-6,2,270.4,102,0.5,167.8,,,,,,,,,,
206,-6,2,269.7,101.6,0.7,167.3,,,,,,,,,,
207,-6,1,288.2,106,0.4,181.7,,,,,,,,,,
208,-6,1,279.3,103.6,0.5,175.2,,,,,,,,,,
209,-6,1,273.2,101.2,0.3,171.7,,,,,,,,,,
210,-6,5,269.9,106.6,0.6,162.7,,,,,,,,,,
211,-6,5,264.9,104.8,0.6,159.4,,,,,,,,,,
212,-6,5,267.5,104.6,0.6,162.3,,,,,,,,,,
213,-6,13,222.6,99.6,0.5,122.4,,,,,,,,,,
214,-6,13,223.8,104.5,0.5,118.8,,,,,,,,,,
215,-6,13,227.7,103.2,1.1,123.4,,,,,,,,,,
216,-6,14,219.1,103,0.8,115.3,,,,,,,,,,
217,-6,14,236.3,107.6,0.9,127.8,,,,,,,,,,
218,-6,14,219.5,101.4,0.7,117.4,,,,,,,,,,
219,-6,0,280.9,101.9,0.6,178.4,,,,,,,,,,
220,-6,0,296.5,107.4,0.6,188.5,,,,,,,,,,
221,-6,0,285.4,103.7,0.8,180.9,,,,,,,,,,
222,-6,7,257.5,105.3,0.6,151.6,,,,,,,,,,
223,-6,7,242.9,101.2,0.6,141.2,,,,,,,,,,
224,-6,7,250,103.7,0.6,145.7,,,,,,,,,,
225,-6,11,236,103.8,0.6,131.6,,,,,,,,,,
226,-6,11,229.6,101.8,0.7,127.1,,,,,,,,,,
227,-6,11,223.9,99.4,0.5,124,,,,,,,,,,
228,-6,4,269.9,105.6,0.7,163.6,,,,,,,,,,
229,-6,4,260.8,103.6,0.4,156.8,,,,,,,,,,
230,-6,4,277.7,107,0.7,170,,,,,,,,,,
231,-6,13,222.2,102.6,0.8,118.8,,,,,,,,,,
232,-6,13,233.9,106,0.7,127.2,,,,,,,,,,
233,-6,13,229.1,104.2,1,123.9,,,,,,,,,,
234,-6,16,214.7,102.2,0.5,112.1,,,,,,,,,,
235,-6,16,209.8,98.1,0.4,111.3,,,,,,,,,,
236,-6,16,200.3,96.1,0.6,103.5,,,,,,,,,,
237,-6,19,193.2,94.2,1,98,,,,,,,,,,
238,-6,19,199.8,97.5,0.9,101.4,,,,,,,,,,
239,-6,19,204.9,98.1,0.6,106.1,,,,,,,,,,
240,-6,18,212.9,104.3,1,107.7,,,,,,,,,,
